Serial_No,Department,Year,Faculty_Feedback,Infrastructure_Feedback,Library_Feedback,Labs_Feedback,Placements_Feedback,Internship_Feedback,Extracurricular_Feedback,IndustryConnect_Feedback,Collaboration_Feedback
,,,I found the Faculty good and helpful.,The Infrastructure needs improvement.,The Library felt neutral to me.,The Labs experience was positive for me.,The Placements was disappointing.,The Internship felt neutral to me.,I found the Extracurricular good and helpful.,The IndustryConnect needs improvement.,The Collaboration was average.
,,,The Faculty was disappointing.,I found the Infrastructure good and helpful.,"The Library was okay, nothing special.",The Labs needs improvement.,I found the Placements good and helpful.,I neither liked nor disliked the Internship.,I was not satisfied with the Extracurricular.,The IndustryConnect met my expectations.,"The Collaboration was okay, nothing special."
,,,The Faculty felt neutral to me.,The Infrastructure experience was positive for me.,The Library was disappointing.,"The Labs was okay, nothing special.","Overall, I am satisfied with the Placements.",My experience with the Internship was not good.,The Extracurricular was average.,I felt the IndustryConnect was well-managed and useful.,The Collaboration needs improvement.
,,,The Faculty was average.,I felt the Infrastructure was poorly managed.,The Library met my expectations.,I had a normal experience with the Labs.,I was not satisfied with the Placements.,I felt the Internship was well-managed and useful.,"The Extracurricular was okay, nothing special.",The IndustryConnect was disappointing.,I felt the Collaboration was well-managed and useful.
,,,The Faculty needs improvement.,The Infrastructure was average.,I found the Library good and helpful.,I felt the Labs was poorly managed.,The Placements felt neutral to me.,"Overall, I am satisfied with the Internship.",I felt the Extracurricular was poorly managed.,The IndustryConnect felt neutral to me.,"Overall, I am satisfied with the Collaboration."
,,,I felt the Faculty was poorly managed.,The Infrastructure experience was positive for me.,I neither liked nor disliked the Library.,My experience with the Labs was not good.,The Placements met my expectations.,The Internship felt neutral to me.,The Extracurricular was disappointing.,I found the IndustryConnect good and helpful.,I had a normal experience with the Collaboration.
,,,I felt the Faculty was well-managed and useful.,The Infrastructure was average.,I was not satisfied with the Library.,The Labs experience was positive for me.,"The Placements was okay, nothing special.",I felt the Internship was poorly managed.,The Extracurricular experience was positive for me.,The IndustryConnect was average.,I felt the Collaboration was poorly managed.
,,,My experience with the Faculty was not good.,I neither liked nor disliked the Infrastructure.,I found the Library good and helpful.,My experience with the Labs was not good.,I neither liked nor disliked the Placements.,"Overall, I am satisfied with the Internship.",I felt the Extracurricular was poorly managed.,I neither liked nor disliked the IndustryConnect.,The Collaboration experience was positive for me.
,,,I felt the Faculty was poorly managed.,I felt the Infrastructure was well-managed and useful.,"The Library was okay, nothing special.",I felt the Labs was poorly managed.,I felt the Placements was well-managed and useful.,The Internship felt neutral to me.,My experience with the Extracurricular was not good.,"Overall, I am satisfied with the IndustryConnect.","The Collaboration was okay, nothing special."
,,,The Faculty was average.,I felt the Infrastructure was poorly managed.,The Library met my expectations.,The Labs felt neutral to me.,The Placements was disappointing.,The Internship met my expectations.,The Extracurricular felt neutral to me.,I was not satisfied with the IndustryConnect.,The Collaboration met my expectations.
,,,I felt the Faculty was well-managed and useful.,I felt the Infrastructure was poorly managed.,I had a normal experience with the Library.,The Labs experience was positive for me.,I was not satisfied with the Placements.,I neither liked nor disliked the Internship.,"Overall, I am satisfied with the Extracurricular.",I felt the IndustryConnect was poorly managed.,I neither liked nor disliked the Collaboration.
,,,The Faculty was average.,The Infrastructure needs improvement.,I felt the Library was well-managed and useful.,The Labs felt neutral to me.,My experience with the Placements was not good.,The Internship experience was positive for me.,"The Extracurricular was okay, nothing special.",The IndustryConnect needs improvement.,The Collaboration met my expectations.
